figure_id,scheme,metric,value,unit,data_source,note
fig_baseline_effect_qps,Full scoring,PR-AUC,0.9320,,existing_reported,来自现有图6-4/图6-5使用的 fusion_scheme_compare.csv
fig_baseline_effect_qps,Full scoring,QPS,2700.00,QPS,existing_reported,来自现有图6-4/图6-5使用的 fusion_scheme_compare.csv
fig_baseline_effect_qps,Recall-only,PR-AUC,0.8440,,existing_reported,来自现有图6-4/图6-5使用的 fusion_scheme_compare.csv
fig_baseline_effect_qps,Recall-only,QPS,4580.00,QPS,existing_reported,来自现有图6-4/图6-5使用的 fusion_scheme_compare.csv
fig_baseline_effect_qps,Initial fusion,PR-AUC,0.8830,,existing_reported,来自现有图6-4/图6-5使用的 fusion_scheme_compare.csv
fig_baseline_effect_qps,Initial fusion,QPS,3490.00,QPS,existing_reported,来自现有图6-4/图6-5使用的 fusion_scheme_compare.csv
fig_baseline_effect_qps,Full fusion,PR-AUC,0.9060,,existing_reported,来自现有图6-4/图6-5使用的 fusion_scheme_compare.csv
fig_baseline_effect_qps,Full fusion,QPS,4280.00,QPS,existing_reported,来自现有图6-4/图6-5使用的 fusion_scheme_compare.csv
